iter	Logloss
0	0.6754791061
1	0.6591309311
2	0.6429813649
3	0.6284953002
4	0.6145805137
5	0.6022471248
6	0.5906638483
7	0.5788319433
8	0.5689798976
9	0.5591457743
10	0.5511035705
11	0.542782334
12	0.5350320412
13	0.527849017
14	0.5215395811
15	0.5171986079
16	0.5119775295
17	0.5072810155
18	0.5026161125
19	0.4982860541
20	0.4942043909
21	0.4898083014
22	0.4855201116
23	0.4818456992
24	0.4784497604
25	0.4751551435
26	0.4721787002
27	0.4693249353
28	0.4666214744
29	0.4637748697
30	0.4611766171
31	0.4586179845
32	0.4567594853
33	0.4545153468
34	0.4523617529
35	0.4508291238
36	0.4485849573
37	0.4468910177
38	0.4451092536
39	0.4432104704
40	0.4416519255
41	0.4399552026
42	0.4380847381
43	0.4366665557
44	0.4348519047
45	0.4331627849
46	0.431830431
47	0.4303793806
48	0.4290745239
49	0.427888979
50	0.4264843551
51	0.4253571069
52	0.4243227142
53	0.4230905629
54	0.4221128192
55	0.4209003476
56	0.4195483305
57	0.4175799816
58	0.4164379505
59	0.4154460422
60	0.4144796106
61	0.4136426641
62	0.4120304872
63	0.4112340672
64	0.410508221
65	0.4095829264
66	0.408715763
67	0.4079579175
68	0.4070455228
69	0.406146342
70	0.4054134472
71	0.4043954692
72	0.4033422383
73	0.4018591864
74	0.4009156658
75	0.4000138708
76	0.3990534794
77	0.3976939507
78	0.3967520917
79	0.3955052872
80	0.3947543604
81	0.3938921935
82	0.3931356936
83	0.392174875
84	0.3914199087
85	0.3908687464
86	0.3902863176
87	0.3895871828
88	0.3889232022
89	0.3881938694
90	0.3864024333
91	0.3850850991
92	0.3839049173
93	0.3834565569
94	0.3826809181
95	0.3818023539
96	0.3807449466
97	0.3794965377
98	0.3789334985
99	0.3777593632
100	0.3772421861
101	0.3766729758
102	0.3761629163
103	0.3742629239
104	0.3729930259
105	0.372638465
106	0.3719980526
107	0.3716141268
108	0.3713682107
109	0.3703718621
110	0.3700310293
111	0.369707169
112	0.3693924451
113	0.3686217305
114	0.3677016181
115	0.3669803929
116	0.3662714642
117	0.3657139568
118	0.3653869378
119	0.3650258762
120	0.3642253885
121	0.3637508493
122	0.3631659601
123	0.3623747379
124	0.3620312315
125	0.3617144564
126	0.3612202074
127	0.3596335464
128	0.3589190477
129	0.3586283845
130	0.3577594161
131	0.3572392528
132	0.3555633574
133	0.3551984129
134	0.3547543602
135	0.3544918809
136	0.3540104807
137	0.3532949721
138	0.3530180629
139	0.3527256194
140	0.3524652452
141	0.3520447733
142	0.3515737102
143	0.3507151095
144	0.3499612065
145	0.3486117292
146	0.3477051715
147	0.3468706814
148	0.3462719009
149	0.3451653803
150	0.3444736018
151	0.3442158556
152	0.3435298692
153	0.3431111317
154	0.342137659
155	0.3419323101
156	0.3410516882
157	0.3407773446
158	0.3402946445
159	0.3393250457
160	0.339095051
161	0.3388217843
162	0.3372294236
163	0.3369673331
164	0.3366478425
165	0.3362384889
166	0.3358579847
167	0.3353755485
