iter	Passed	Remaining
0	2	2633
1	5	2747
2	8	2790
3	10	2729
4	13	2686
5	15	2620
6	17	2546
7	20	2501
8	22	2491
9	25	2485
10	27	2475
11	29	2459
12	32	2453
13	34	2430
14	36	2415
15	39	2405
16	41	2397
17	44	2420
18	47	2434
19	49	2442
20	52	2428
21	54	2427
22	56	2419
23	59	2417
24	61	2411
25	64	2409
26	66	2399
27	68	2394
28	71	2385
29	73	2385
30	76	2390
31	78	2387
32	81	2391
33	84	2390
34	86	2388
35	89	2383
36	91	2381
37	93	2374
38	96	2369
39	98	2362
40	100	2361
41	103	2353
42	105	2349
43	108	2347
44	110	2340
45	112	2332
46	114	2328
47	117	2325
48	120	2329
49	122	2331
50	125	2335
51	127	2331
52	130	2332
53	133	2334
54	135	2329
55	137	2323
56	140	2322
57	142	2315
58	144	2311
59	147	2305
60	149	2302
61	152	2312
62	155	2305
63	157	2301
64	160	2305
65	162	2306
66	165	2306
67	167	2302
68	170	2299
69	172	2296
70	175	2292
71	177	2289
72	180	2285
73	182	2283
74	184	2278
75	187	2275
76	190	2280
77	192	2276
78	195	2274
79	197	2271
80	200	2269
81	202	2271
82	205	2272
83	208	2270
84	210	2266
85	212	2263
86	215	2260
87	217	2255
88	219	2251
89	222	2247
90	224	2243
91	227	2240
92	229	2237
93	231	2233
94	234	2232
95	237	2232
96	239	2233
97	242	2232
98	244	2227
99	247	2225
100	249	2221
101	252	2218
102	254	2215
103	256	2212
104	259	2209
105	261	2205
106	263	2202
107	266	2197
108	268	2195
109	271	2193
110	273	2189
111	275	2186
112	278	2188
113	281	2185
114	283	2183
115	285	2178
116	288	2175
117	290	2173
118	293	2170
119	295	2167
120	298	2165
121	300	2162
122	302	2159
123	305	2157
124	307	2153
125	309	2150
126	312	2147
127	314	2144
128	317	2141
129	319	2140
130	322	2140
131	325	2139
132	328	2139
133	330	2138
134	333	2137
135	336	2138
136	339	2136
137	341	2135
138	344	2135
139	347	2136
140	350	2138
141	354	2141
142	357	2140
143	359	2139
144	362	2138
145	365	2140
146	369	2141
147	372	2142
148	374	2140
149	377	2139
150	380	2137
151	383	2138
152	386	2137
153	388	2135
154	391	2132
155	395	2138
156	400	2148
157	403	2151
158	406	2151
159	409	2149
160	412	2147
161	414	2146
162	417	2143
163	419	2140
164	422	2138
165	425	2136
166	427	2134
167	430	2132
168	433	2130
169	436	2132
170	439	2132
171	442	2130
172	445	2128
173	447	2125
174	450	2124
175	453	2123
176	456	2122
177	459	2120
178	461	2118
179	464	2116
180	467	2114
181	470	2114
182	473	2113
183	476	2111
184	478	2108
185	481	2106
186	484	2104
187	486	2101
188	489	2099
189	491	2097
190	494	2095
191	497	2093
192	500	2091
193	502	2088
194	505	2086
195	507	2083
196	510	2081
197	514	2082
198	517	2082
199	520	2081
200	523	2080
201	526	2080
202	529	2079
203	532	2078
204	535	2077
205	538	2075
206	541	2075
207	544	2073
208	547	2072
209	551	2074
210	555	2076
211	558	2075
212	561	2075
213	564	2074
214	567	2073
215	570	2071
216	573	2070
217	576	2069
218	579	2067
219	582	2066
220	585	2064
221	589	2064
